Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","10831","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2907","Starchy Roots","2017","2017","1000 tonnes","434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","115","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2911","Pulses","2017","2017","1000 tonnes","192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2912","Treenuts","2017","2017","1000 tonnes","38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2918","Vegetables","2017","2017","1000 tonnes","456","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","592","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2943","Meat","2017","2017","1000 tonnes","67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2949","Eggs","2017","2017","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","1155","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5611","Import Quantity","2960","Fish, Seafood","2017","2017","1000 tonnes","732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","35578","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2907","Starchy Roots","2017","2017","1000 tonnes","37070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","4435","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2911","Pulses","2017","2017","1000 tonnes","1488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2912","Treenuts","2017","2017","1000 tonnes","492","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2918","Vegetables","2017","2017","1000 tonnes","1923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","6514","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2943","Meat","2017","2017","1000 tonnes","5420","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2949","Eggs","2017","2017","1000 tonnes","182","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","2740","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5611","Import Quantity","2960","Fish, Seafood","2017","2017","1000 tonnes","13260","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","5801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2907","Starchy Roots","2017","2017","1000 tonnes","249","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","2701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2911","Pulses","2017","2017","1000 tonnes","7003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2912","Treenuts","2017","2017","1000 tonnes","936","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2918","Vegetables","2017","2017","1000 tonnes","37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","1039","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2943","Meat","2017","2017","1000 tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2949","Eggs","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5611","Import Quantity","2960","Fish, Seafood","2017","2017","1000 tonnes","78","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","1613","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2907","Starchy Roots","2017","2017","1000 tonnes","709","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2911","Pulses","2017","2017","1000 tonnes","42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2912","Treenuts","2017","2017","1000 tonnes","35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2918","Vegetables","2017","2017","1000 tonnes","2281","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","6088","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2943","Meat","2017","2017","1000 tonnes","1049","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2949","Eggs","2017","2017","1000 tonnes","92","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","4211","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5611","Import Quantity","2960","Fish, Seafood","2017","2017","1000 tonnes","892","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","11707","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2907","Starchy Roots","2017","2017","1000 tonnes","3606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","6338","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2911","Pulses","2017","2017","1000 tonnes","532","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2912","Treenuts","2017","2017","1000 tonnes","391","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2918","Vegetables","2017","2017","1000 tonnes","10708","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","22753","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2943","Meat","2017","2017","1000 tonnes","2337","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2949","Eggs","2017","2017","1000 tonnes","38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","1087","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","231","United States of America","5611","Import Quantity","2960","Fish, Seafood","2017","2017","1000 tonnes","5632","A","Aggregate, may include official, semi-official, estimated or calculated data"
