Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","21","Brazil","5511","Production","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","117809","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2907","Starchy Roots","2017","2017","1000 tonnes","23560","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","41166","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2911","Pulses","2017","2017","1000 tonnes","3046","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2912","Treenuts","2017","2017","1000 tonnes","179","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2918","Vegetables","2017","2017","1000 tonnes","11914","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","37042","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2943","Meat","2017","2017","1000 tonnes","27946","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2949","Eggs","2017","2017","1000 tonnes","2722","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","33742","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","21","Brazil","5511","Production","2960","Fish, Seafood","2017","2017","1000 tonnes","1299","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","620079","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2907","Starchy Roots","2017","2017","1000 tonnes","178208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","14814","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2911","Pulses","2017","2017","1000 tonnes","5189","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2912","Treenuts","2017","2017","1000 tonnes","4312","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2918","Vegetables","2017","2017","1000 tonnes","653411","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","168284","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2943","Meat","2017","2017","1000 tonnes","88051","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2949","Eggs","2017","2017","1000 tonnes","36859","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","35309","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2960","Fish, Seafood","2017","2017","1000 tonnes","62290","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","313659","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2907","Starchy Roots","2017","2017","1000 tonnes","54242","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","28608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2911","Pulses","2017","2017","1000 tonnes","23241","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2912","Treenuts","2017","2017","1000 tonnes","1500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2918","Vegetables","2017","2017","1000 tonnes","128613","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","90840","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2943","Meat","2017","2017","1000 tonnes","7358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2949","Eggs","2017","2017","1000 tonnes","4850","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","176275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2960","Fish, Seafood","2017","2017","1000 tonnes","11606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5511","Production","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","131244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5511","Production","2907","Starchy Roots","2017","2017","1000 tonnes","29590","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5511","Production","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","13258","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","185","Russian Federation","5511","Production","2911","Pulses","2017","2017","1000 tonnes","4265","A","Aggregate, may include official, semi-official, estimated or calculated data"
