Area,Element,Item,Unit,Value,
Brazil,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,129.89,645.54
Brazil,Food supply quantity (kg/capita/yr),Starchy Roots,kg,52.33,
Brazil,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,42.77,
Brazil,Food supply quantity (kg/capita/yr),Pulses,kg,14.26,
Brazil,Food supply quantity (kg/capita/yr),Treenuts,kg,0.79,
Brazil,Food supply quantity (kg/capita/yr),Vegetables,kg,50.96,
Brazil,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,93.9,
Brazil,Food supply quantity (kg/capita/yr),Meat,kg,99.83,
Brazil,Food supply quantity (kg/capita/yr),Eggs,kg,7.77,
Brazil,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,143.95,
Brazil,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,9.09,
Canada,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,118.71,766.8
Canada,Food supply quantity (kg/capita/yr),Starchy Roots,kg,64.57,
Canada,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,92.84,
Canada,Food supply quantity (kg/capita/yr),Pulses,kg,11.65,
Canada,Food supply quantity (kg/capita/yr),Treenuts,kg,2.66,
Canada,Food supply quantity (kg/capita/yr),Vegetables,kg,101.57,
Canada,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,93.68,
Canada,Food supply quantity (kg/capita/yr),Meat,kg,82.62,
Canada,Food supply quantity (kg/capita/yr),Eggs,kg,14.17,
Canada,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,161.88,
Canada,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,22.45,
China,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,195.57,895.35
China,Food supply quantity (kg/capita/yr),Starchy Roots,kg,66.6,
China,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,8.24,
China,Food supply quantity (kg/capita/yr),Pulses,kg,1.37,
China,Food supply quantity (kg/capita/yr),Treenuts,kg,2.94,
China,Food supply quantity (kg/capita/yr),Vegetables,kg,377.17,
China,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,97.93,
China,Food supply quantity (kg/capita/yr),Meat,kg,60.59,
China,Food supply quantity (kg/capita/yr),Eggs,kg,22.72,
China,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,24.05,
China,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,38.17,
France,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,132,815.73
France,Food supply quantity (kg/capita/yr),Starchy Roots,kg,50.88,
France,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,49.27,
France,Food supply quantity (kg/capita/yr),Pulses,kg,1.87,
France,Food supply quantity (kg/capita/yr),Treenuts,kg,3.95,
France,Food supply quantity (kg/capita/yr),Vegetables,kg,96.66,
France,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,92.05,
France,Food supply quantity (kg/capita/yr),Meat,kg,83.04,
France,Food supply quantity (kg/capita/yr),Eggs,kg,11.53,
France,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,260.11,
France,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,34.37,
Germany,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,113.89,775.75
Germany,Food supply quantity (kg/capita/yr),Starchy Roots,kg,67.38,
